id;name;website;vertical;sub_vertical;country;region;city;logo_url;estadio_actual;solucion;mail;social_media;contact_phone;founders;founded;organization_type;outcome_status;business_model;badges;notes;status;lat;lng
;Samsara Eco;samsaraeco.com/;circular_economy;waste_upcycling;Australia;S/D;S/D;S/D;S/D;Reciclado de plasticos con enzimas. Samsara Eco opera en las tierras no cedidas de los pueblos Cammeraygal, Gadigal, Ngambri y Ngunnawal.;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;ULUU;uluu.com.au/;circular_economy;otra_especificar;Australia;S/D;S/D;S/D;S/D;Biomateriales. Nuestros pellets aptos para moldeo por inyección se pueden utilizar para producir productos rígidos como envases, electrónica de consumo, muebles e interiores de automóviles.;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Elmery;elmery.fi/;circular_economy;otra_especificar;Finland;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Vytal;vytal.org/;circular_economy;otra_especificar;Alemania;Colonia;Renania Del Norte Westfalia;S/D;series_a_early_growth;Sistema de packaging reutilizable para take-away y delivery, con software de gestión de contenedores. Los usuarios toman prestados los envases de socios y los devuelven en cualquier punto de la red.;S/D;S/D;S/D;Dr. Tim Breker, Dr. Fabian Barthel, Sven Witthöft, Dr. Josephine Kreische;2019;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Recove;recove.in/;circular_economy;otra_especificar;India;S/D;S/D;S/D;seed;Marketplace tecnológico para la industria del reciclaje en India. Conecta generadores de residuos plásticos con recicladores y ofrece infraestructura de preprocesamiento.;S/D;S/D;S/D;Viral Chhajer (Ceo & Co-Founder);N/D;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Paptic;paptic.com/;otra;otra_especificar;Finlandia;Espoo;Finlandia;S/D;series_a_early_growth;Material de packaging renovable y reciclable a base de fibras de madera para reemplazar plásticos en empaques flexibles. Se puede reciclar junto al cartón y el papel.;S/D;S/D;S/D;Esa Torniainen, Karita Kinnunen-Raudaskoski, Tuomas Mustonen;2015;startup;S/D;S/D;S/D;S/D;DRAFT;;
;METYCLE;metycle.com/;circular_economy;otra_especificar;Alemania;Colonia;Alemania;S/D;series_a_early_growth;Marketplace gestionado para el comercio internacional de metales secundarios (chatarra). Usa IA para clasificación y certificación de calidad. Conecta recolectores con recicladores y fundidoras.;founders@metycle.com;S/D;S/D;Rafael Suchan, Sebastian Brenner;2022;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Eeden;eeden.world/;circular_economy;otra_especificar;Alemania;Münster;Alemania;S/D;series_a_early_growth;Tecnología de reciclaje químico que separa celulosa pura y monómeros PET de mezclas algodón-poliéster. Los materiales recuperados se usan para producir fibras de calidad virgen (lyocell, viscosa, poliéster).;hertrampf@eeden.world;S/D;S/D;Steffen Gerlach (Ceo), Dr. Tobias Börnhorst (Cto);2019;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Metalshub;metals-hub.com/;otra;otra_especificar;Alemania;Düsseldorf;Alemania;S/D;series_a_early_growth;Plataforma SaaS vertical e índices de precios para la industria de metales, minería y reciclaje. Digitaliza procurement, ventas y trading de materias primas. También opera bajo la marca Metis para datos de precios.;S/D;S/D;S/D;N/D;2016;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Recyda GmbH;recyda.com/;climatech;digital_ag;Alemania;Friburgo De Brisgovia;Alemania;S/D;series_a_early_growth;Software SaaS para gestión sostenible de packaging. Permite evaluar reciclabilidad de envases según regulaciones internacionales, calcular tasas EPR (Extended Producer Responsibility) y gestionar datos de packaging.;S/D;S/D;S/D;Vivian Loftin (Cmo), Anna Zießow (Cpo), Christian Knobloch (Ceo);2020;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Fazla Gıda;fazla.com/;foodtech;otra_especificar;Turquía Turquía;Estambul;S/D;S/D;series_a_early_growth;Plataforma cloud B2B para gestión de inventarios excedentes alimentarios. Redistribuye surplus a bancos de alimentos, canales HoReCa, producción de alimento animal y plantas de biogás. B Corp certificado.;S/D;S/D;S/D;Olcay Silahlı (Ceo & Founder);2017;startup;S/D;S/D;S/D;S/D;DRAFT;;
;everox (former C2CA);everox.tech/;circular_economy;otra_especificar;D;N;D N;S/D;early_stage;Tecnología avanzada de reciclaje (información limitada disponible públicamente).;S/D;S/D;S/D;N/D;N/D;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Matter.;matter.industries/;otra;otra_especificar;Reino Unido;Bristol;Reino Unido;S/D;series_a_early_growth;Tecnología de filtración pionera para capturar y reciclar microplásticos, principalmente de lavadoras domésticas y procesos industriales textiles. Producto principal: Regen.® - filtro que captura microplásticos antes de que lleguen al medioambiente.;hello@matter.industries;S/D;S/D;Adam Root (Founder & Ceo);2018;startup;S/D;S/D;S/D;S/D;DRAFT;;
;eureciclo;alias.eureciclo.com.br/;circular_economy;otra_especificar;Brasil Brasil;São Paulo;S/D;S/D;series_b_growth;Mayor certificadora de logística inversa de envases en Brasil. Conecta empresas con recicladores para compensar el impacto ambiental del packaging. Permite cumplir con la Política Nacional de Residuos Sólidos (PNRS) de Brasil.;contato@eureciclo.com.br;S/D;S/D;Thiago Pinto (Ceo & Co-Founder);2015;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Ionic Technologies;ionictechnologies.com/;circular_economy;otra_especificar;Reino Unido;Belfast;Irlanda Del Norte;S/D;S/D;Tecnología patentada para el reciclaje de imanes permanentes y recuperación de elementos de tierras raras (REE). Spin-out de Queen's University Belfast, filial 100% de Ionic Rare Earths Ltd.;S/D;S/D;S/D;N/D (Spin-Out Queen'S University Belfast);N/D;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Ecobean;ecobean.pl/;circular_economy;waste_upcycling;Polonia Polonia;Varsovia;S/D;S/D;seed;Empresa tecnológica que extiende la cadena de valor del café convirtiéndolo en materias primas verdes y químicos sostenibles. Recoge posos de café usados y los transforma en materiales circulares. Spin-out de Warsaw University of Technology.;S/D;S/D;S/D;Marcin Koziorowski, Kacper Kossowski;N/D;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Cyclize;cyclize.de/;circular_economy;otra_especificar;Alemania;S/D;S/D;S/D;early_stage;Soluciones de reciclaje químico para plásticos (información limitada disponible públicamente). Startup alemana.;S/D;S/D;S/D;N/D;N/D;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Re-Fresh Global;re-fresh.global/;circular_economy;otra_especificar;D;N;D N;S/D;early_stage;Plataforma global de economía circular (información limitada disponible públicamente).;S/D;S/D;S/D;N/D;N/D;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Horen;xiangxiang.com/;circular_economy;digital_ag;S/D;China China;S/D;S/D;S/D;Plataforma digital de reciclaje (China). Información limitada disponible en inglés.;S/D;S/D;S/D;N/D;N/D;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Resortecs;resortecs.com/;circular_economy;otra_especificar;Bélgica Bélgica;Bruselas;Lievegem;S/D;series_a_early_growth;Empresa de ecodiseño que desarrolla hilos de costura termosolubles (Smart Stitch™) y sistemas de desmontaje térmico (Smart Disassembly™) para facilitar el reciclaje industrial de textiles. Permite reciclar hasta el 90% del tejido original.;S/D;S/D;S/D;Cédric Vanhoeck, Vanessa Counaert;2017;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Keey Aerogel;keey-aerogel.com/;otra;otra_especificar;D;N;D N;S/D;early_stage;Desarrolla aerogel sostenible como material de aislamiento de alto rendimiento (información limitada disponible públicamente).;S/D;S/D;S/D;N/D;N/D;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Tiptapp;tiptapp.com/;circular_economy;waste_upcycling;S/D;Suecia Suecia;S/D;S/D;S/D;App de economía colaborativa que conecta personas que quieren deshacerse de objetos con quienes los recogen (para reutilización o reciclaje). Funciona como un 'Uber' para la recogida de objetos voluminosos y residuos.;S/D;S/D;S/D;N/D;N/D;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Kokhavynska Paper Factory;kpf.ua/;circular_economy;waste_upcycling;S/D;Ucrania Ucrania;S/D;S/D;early_stage;Plataforma ucraniana de gestión de residuos y reciclaje (información limitada disponible públicamente).;S/D;S/D;S/D;N/D;N/D;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Plastiks;plastiks.io/;circular_economy;otra_especificar;España;S/D;S/D;S/D;S/D;Marketplace blockchain para créditos de recuperación de plástico. Conecta empresas con proyectos de recuperación de plástico verificados para compensar su huella de plástico y reportar impacto ambiental.;S/D;S/D;S/D;N/D;N/D;startup;S/D;S/D;S/D;S/D;DRAFT;;
;ALIER;alier.com/;otra;otra_especificar;España;S/D;S/D;S/D;S/D;Empresa de fertilizantes orgánicos y enmiendas para suelos, con enfoque en sostenibilidad agrícola y economía circular (información limitada disponible).;S/D;S/D;S/D;N/D;N/D;startup;S/D;S/D;S/D;S/D;DRAFT;;
;ScrapAd;scrapad.com/;circular_economy;otra_especificar;España;Eibar;Madrid;S/D;series_a_early_growth;Marketplace global para la compra y venta de materiales reciclables (metales, plásticos, tubos, papel, cables) en más de 125 países. Verifica empresas y materiales para garantizar transacciones seguras e incluye gestión logística.;S/D;S/D;S/D;N/D;2018;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Umincorp;umincorp.com/;circular_economy;otra_especificar;S/D;Países Bajos Países Bajos;S/D;S/D;S/D;Tecnología de separación y reciclaje de plásticos mixtos post-consumo mediante procesos de densidad en agua. Permite reciclar plásticos que normalmente van a vertedero.;S/D;S/D;S/D;N/D;N/D;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Natural World Products;naturalworldproducts.com/;circular_economy;otra_especificar;D;N;D N;S/D;S/D;Productos de limpieza sostenibles y naturales con packaging responsable (información limitada disponible).;S/D;S/D;S/D;N/D;N/D;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Mimbly;mimbly.se/;otra;water_tech;S/D;Suecia Suecia;S/D;S/D;seed;Dispositivo Mimbox que se conecta a lavadoras para capturar microplásticos y microfibras del agua de lavado antes de que lleguen al desagüe. También ahorra agua y energía.;S/D;S/D;S/D;N/D;N/D;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Tri’n’collect;tri-n-collect.fr/;circular_economy;waste_upcycling;Francia;S/D;S/D;S/D;early_stage;Solución francesa de recogida y clasificación selectiva de residuos (información limitada disponible públicamente).;S/D;S/D;S/D;N/D;N/D;startup;S/D;S/D;S/D;S/D;DRAFT;;
;SCOP3;scop3.com/;climatech;otra_especificar;D;N;D N;S/D;S/D;Plataforma de medición y gestión de emisiones de CO2 de Alcance 3 (cadena de suministro). Ayuda a empresas a calcular, reportar y reducir su huella de carbono indirecta.;S/D;S/D;S/D;N/D;N/D;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Kora;kora.app/;otra;otra_especificar;D;N;D N;S/D;early_stage;App de finanzas personales con enfoque en sostenibilidad e impacto ambiental (información limitada disponible públicamente).;S/D;S/D;S/D;N/D;N/D;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Loopfront;loopfront.com/en/;circular_economy;otra_especificar;S/D;Noruega Noruega;S/D;S/D;S/D;Plataforma digital de economía circular para materiales de construcción y mobiliario de segunda mano. Conecta empresas que tienen excedentes con quienes los necesitan.;S/D;S/D;S/D;N/D;N/D;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Glenntex AB;glenntex.com/;circular_economy;otra_especificar;D;N;D N;S/D;early_stage;Soluciones de reciclaje textil (información limitada disponible públicamente).;S/D;S/D;S/D;N/D;N/D;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Myco;myco.cz/en/;biotech_bioinputs;otra_especificar;S/D;República Checa República Checa;S/D;S/D;early_stage;Empresa checa que desarrolla biomateriales a base de micelio (hongos) como alternativa sostenible a materiales tradicionales para packaging u otras aplicaciones.;S/D;S/D;S/D;N/D;N/D;startup;S/D;S/D;S/D;S/D;DRAFT;;
;ERTH;erth.app/;climatech;carbon_solutions;D;N;D N;S/D;early_stage;App que ayuda a los usuarios a medir, entender y reducir su huella de carbono personal y el impacto medioambiental de sus compras y actividades cotidianas.;S/D;S/D;S/D;N/D;N/D;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Doll'App;dollapp.co/;circular_economy;otra_especificar;D;N;D N;S/D;early_stage;Plataforma de reventa y segunda mano de moda (información limitada disponible públicamente).;S/D;S/D;S/D;N/D;N/D;startup;S/D;S/D;S/D;S/D;DRAFT;;
;MarinaTex;marinatex.co.uk/;biotech_bioinputs;waste_upcycling;Reino Unido;S/D;S/D;S/D;early_stage;Desarrolla bioplásticos a partir de residuos de la industria pesquera (desechos de peces y algas). Material biodegradable y compostable como alternativa al plástico convencional.;S/D;S/D;S/D;Lucy Hughes;N/D;startup;S/D;S/D;S/D;S/D;DRAFT;;
;AMCS Group;amcsgroup.com/;otra;digital_ag;Irlanda Irlanda;Limerick;S/D;S/D;scale_up;Plataforma de software empresarial para la industria de residuos, reciclaje y recursos. Optimiza operaciones de recogida, transporte, procesamiento y venta de materiales reciclables para empresas de gestión de residuos.;S/D;S/D;S/D;N/D;N/D;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Healthcann;healthcann.eu/;otra;otra_especificar;D Exacto);N;D Europa (N;S/D;early_stage;Productos sostenibles derivados del cáñamo industrial para industrias diversas (construcción, alimentación, textil). Economía circular basada en biomateriales.;S/D;S/D;S/D;N/D;N/D;startup;S/D;S/D;S/D;S/D;DRAFT;;
;SpexAI GmbH;spexai.com/;otra;waste_upcycling;S/D;Países Bajos Países Bajos;S/D;S/D;S/D;Inteligencia artificial para clasificación y análisis de materiales en plantas de reciclaje. Mejora la eficiencia del proceso de clasificación usando visión por computadora.;S/D;S/D;S/D;N/D;N/D;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Clarity AI;clarity.ai/;otra;otra_especificar;Ee.Uu.;Madrid;España (Hq);S/D;S/D;Plataforma tecnológica de sostenibilidad que usa IA y machine learning para evaluar impacto ambiental y social de empresas, fondos y carteras de inversión. Sirve a gestores de activos, bancos e inversores institucionales. Cubre 98k emisores, 2.3M empresas privadas, 450k fondos.;S/D;S/D;S/D;Rebeca Minguela (Ceo & Founder);2017;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Motiv Electric Trucks;motivps.com/;otra;otra_especificar;D;N;D N;S/D;S/D;Soluciones de gestión de energía y sostenibilidad para industrias (información limitada disponible públicamente).;S/D;S/D;S/D;N/D;N/D;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Fortera;forteraglobal.com/;otra;otra_especificar;S/D;Ee.Uu. Ee.Uu.;S/D;S/D;series_b_growth;Tecnología para producir cemento y concreto con significativamente menos emisiones de CO2 que el cemento Portland convencional. Usa reacciones electroquímicas para capturar CO2 del proceso de fabricación.;S/D;S/D;S/D;N/D;N/D;startup;S/D;S/D;S/D;S/D;DRAFT;;
;NoTraffic;notraffic.com/;otra;otra_especificar;Ee.Uu. Israel;Israel;S/D;S/D;series_b_growth;Plataforma de gestión inteligente del tráfico basada en IA. Optimiza semáforos y flujo vehicular en tiempo real para reducir congestión, emisiones y mejorar la movilidad urbana.;S/D;S/D;S/D;N/D;N/D;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Rad Power Bikes;radpowerbikes.com/;otra;otra_especificar;Ee.Uu. Ee.Uu.;Seattle;Washington;S/D;S/D;Marca de bicicletas eléctricas más grande de Norteamérica. Modelo de venta directa al consumidor (D2C). Ofrece e-bikes para uso personal, carga y entrega. Democratiza la movilidad eléctrica de bajo carbono.;S/D;S/D;S/D;Mike Radenbaugh, Ty Collins, Marimar White-Espin;2007;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Amogy;amogy.co/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Natron Energy;natron.energy/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Mill;mill.com/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Svante;svanteinc.com/;otra;otra_especificar;S/D;Canada;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;ICE Thermal Harvesting;ice-th.com/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;itselectric;itselectric.us/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Dat Bike;dat.bike/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Metalchemy;metalchemy.tech/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;mopo;mopo.co/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Aira;airahome.com/;otra;otra_especificar;S/D;Sweden;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Sonnedix;sonnedix.com/;otra;otra_especificar;Francia;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Charm Industrial;charmindustrial.com/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;VEMO;vemovilidad.com/sobre-nosotros;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Scindo;scindo.bio/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Stride;stride.vn/en;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Boston Metal;bostonmetal.com/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;ChargerHelp!;chargerhelp.com/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Solstice;solstice.us/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Mycocycle;mycocycle.com/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Phoenix Tailings;phoenixtailings.com/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Sublime Systems;sublime-systems.com/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Augmenta Inc.;augmenta.ai/;otra;otra_especificar;S/D;Canada;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Pachama;pachama.com/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;TerraPower;terrapower.com/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Electric Hydrogen;eh2.com/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;WattBuy;wattbuy.com/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;OnPath Energy;onpathenergy.com/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Arcadia;arcadia.com/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Atlas Renewable Energy;atlasrenewableenergy.com/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Gradiant;gradiant.com/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Turntide Technologies;turntide.com/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Symbrosia;symbrosia.co/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Northvolt;northvolt.com/;otra;otra_especificar;S/D;Sweden;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Boldr;shopboldr.com/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Universal Hydrogen;hydrogen.aero/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;ZeroAvia;zeroavia.com/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Palmetto;palmetto.com/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Lunar Energy;lunarenergy.com/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;dcbel;dcbel.energy/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;BlocPower;blocpower.io/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Blykalla;blykalla.com/;otra;otra_especificar;S/D;Sweden;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;EVE;eve-mobility.io/;otra;otra_especificar;S/D;Ireland;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Green Li-ion;greenli-ion.com/;otra;otra_especificar;Singapur;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;SWTCH;swtchenergy.com/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Elcogen;elcogen.com/en/;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;;startup;S/D;S/D;S/D;S/D;DRAFT;;
